"nombre","comuna"
"13 DE MARZO","4"
"13 DE MAYO","8"
"20 DE DICIEMBRE","6"
"23 DE ENERO","8"
"28 DE FEBRERO ","9"
"7 DE AGOSTO","8"
"8 DE DICIEMBRE","8"
"ACUARELA","3"
"AEROPUERTO","6"
"AGUA CLARA","CORREGIMIENTO"
"AGUAS CALIENTES","3"
"ALFONSO LOPEZ","10"
"ALONSITO","6"
"ALONSO","10"
"ALTAMIRA","9"
"ALTO PAMPLONITA","4"
"ALTO VIENTO","CASERIO"
"ALTOS DE SAN JUAN","3"
"ALTOS DE SANTANDER","10"
"AMBAR DEL ESTE","4"
"ANILLO VIAL OCCIDENTAL","8"
"ANTONIA SANTOS","8"
"ARNULFO BRICEÑO","9"
"ARRAYANES","CASERIO"
"ATALAYA I.II Y III","8"
"AVENIDA DEL RIO","5"
"BALCONES DE VERSALLES","4"
"BANCO DE ARENAS","CORREGIMIENTO"
"BARRIO BLANCO","2"
"BARRIO NUEVO","9"
"BARRIO SAN MARTIN","4"
"BELEN","9"
"BELISARIO","8"
"BELLAVISTA","3"
"BENJAMIN HERRERA","8"
"BETEL","3"
"BOCONO","3"
"BOGOTA","3"
"BOSQUE DEL PARAISO","5"
"BOSQUES DE PAMPLONITA","4"
"BRISAS ,PAZ Y FUTURO","8"
"BRISAS DE LA FLORIDA","7"
"BRISAS DE LA HERMITA 1-2","7"
"BRISAS DE PAMPLONITA","2"
"BRISAS DEL AEROPUERTO","6"
"BRISAS DEL LLANO","4"
"BRISAS DEL LOS ANDES","9"
"BRISAS DEL MIRADOR","8"
"BRISAS DEL MOLINO","6"
"BRISAS DEL NORTE","6"
"BRISAS DEL PORVENIR","6"
"BRISAS DEL SOL","8"
"BUENA ESPERANZA","CORREGIMIENTO"
"BUENOS AIRES","7"
"C.C BOLIVAR","2"
"CALLEJAS RESERVADOS","4"
"CAMILO","7"
"CAMILO DAZA","6"
"CAMILO TORRES","10"
"CAÑAVERAL","10"
"CAÑO LIMON","6"
"CAOBOS","2"
"CARCEL ","6"
"CARLOS GARCIA LOZADA","6"
"CARLOS PIZARRO","6"
"CARLOS RAMIREZ","8"
"CARORA ","9"
"CASD","2"
"CECILIA CASTRO","6"
"CEIBA II","5"
"CEMENTERIO","10"
"CENABASTOS","5"
"CERRO DE LA CRUZ","6"
"CERRO LA CRUZ","6"
"CERRO NORTE","6"
"CERRO PICO","8"
"CHAPINERO","7"
"CIRCUNVALACION","10"
"CIUDAD JARDIN","5"
"CIUDAD RODEO","8"
"CIUDADELA EL PROGRESO","8"
"CLARET","7"
"CLUB TENIS","2"
"COCACOLA","10"
"COLINAS DE BELLO MONTE","6"
"COLINAS DE LA VICTORIA","6"
"COLINAS DEL NORTE","6"
"COLINAS DEL SALADO","6"
"COLINAS DEL TUNAL","6"
"COLOMBIA UNO","7"
"COLPET","5"
"COLSAG","2"
"COMJ LA PRADERA","3"
"COMJ PARQUE CENTRAL","2"
"COMJ PIE DE MONTE","2"
"COMUNEROS","7"
"COND CANELA","3"
"COND VIDENTE ","10"
"CONDADO DE CASTILLA","2"
"CONJ  TIERRA VIVA","4"
"CONJ ALMENDRA","10"
"CONJ ALTOBELO","3"
"CONJ ALTOVENTO","3"
"CONJ ASTURIAS","2"
"CONJ AZAFRANES","2"
"CONJ BONAIRE","4"
"CONJ CERRADO BRISAS","4"
"CONJ EL TESORO","2"
"CONJ GALICIA","5"
"CONJ HEBISCOS ","9"
"CONJ LA ESTACION","4"
"CONJ LINARES","2"
"CONJ PORTOBELLO","4"
"CONJ PORTOFINO","4"
"CONJ PTO MADERO","4"
"CONJ RES ARBORETO","4"
"CONJ ROYAL","5"
"CONJ SANTA CECILIA","4"
"CONJ TORRES MOLINO","6"
"CONJ VENTUS","4"
"CONJ VILLA PARQUE","2"
"CONJ VILLA REAL","2"
"CORALINAS","8"
"CRISPIN DURAN","7"
"CUBEROS NIÑO","10"
"CUCUTA 75","8"
"CUNDINAMARCA","9"
"DESIERTO","8"
"DIEGO JARAMILLO","9"
"DIVINO NIÑO","6"
"DOÑA NIDIA","8"
"EL BOSQUE","5"
"EL CALLEJON ","1"
"EL CARMEN","CASERIO"
"EL CENTRO","1"
"EL CONTENTO","1"
"EL CORTIJO","10"
"EL CUJI","4"
"EL DORADO","6"
"EL LAGO","2"
"EL MIRADOR CAMPESTRE","2"
"EL NIGUERON","4"
"EL OASIS","8"
"EL PALMARITO","CORREGIMIENTO"
"EL PARAISO","7"
"EL PARAMO","1"
"EL PEOGRESO","8"
"EL PORTAL DEL ESCOBAL","4"
"EL PORTICO","CASERIO"
"EL PORVENIR","6"
"EL REPOSO","9"
"EL RESUMEN","10"
"EL RODEO","8"
"EL ROSAL","2"
"EL ROSAL DEL NORTE","7"
"EL SALADO","6"
"EL SOL","8"
"EL SOLDADO","CORREGIMIENTO"
"EL TALENTO","8"
"EL TESORO","9"
"EL TUNAL","8"
"ESCALABRINI","7"
