"cie10","descripcion"
"A000","Colera Debido A Vibrio Cholerae 01 Biotipo Cholerae"
"A001","Colera Debido A Vibrio Cholerae 01 Biotipo El Tor"
"A009","Colera No Especificado"
"A010","Fiebre Tifoidea"
"A011","Fiebre Paratifoidea A"
"A012","Fiebre Paratifoidea B"
"A013","Fiebre Paratifoidea C"
"A014","Fiebre Paratifoidea No Especificada"
"A020","Enteritis Debida A Salmonella"
"A021","Sepsis Debida A Salmonella"
"A022","Infecciones Localizadas Debidas A Salmonella"
"A028","Otras Infecciones Especificadas Como Debidas A Salmonella"
"A029","Infeccion Debida A Salmonella No Especificada"
"A030","Shigelosis Debida A Shigella Dysenteriae"
"A031","Shigelosis Debida A Shigella Flexneri"
"A032","Shigelosis Debida A Shigella Boydii"
"A033","Shigelosis Debida A Shigella Sonnei"
"A038","Otras Shigelosis"
"A039","Shigelosis De Tipo No Especificado"
"A040","Infeccion Debida A Escherichia Coli Enteropatogena"
"A041","Infeccion Debida A Escherichia Coli Enterotoxigena"
"A042","Infeccion Debida A Escherichia Coli Enteroinvasiva"
"A043","Infeccion Debida A Escherichia Coli Enterohemorragica"
"A044","Otras Infecciones Intestinales Debidas A Escherichia Coli"
"A045","Enteritis Debida A Campylobacter"
"A046","Enteritis Debida A Yersinia Enterocolitica"
"A047","Enterocolitis Debida A Clostridium Difficile"
"A048","Otras Infecciones Intestinales Bacterianas Especificadas"
"A049","Infeccion Intestinal Bacteriana No Especificada"
"A050","Intoxicacion Alimentaria Estafilococica"
"A051","Botulismo"
"A052","Intoxicacion Alimentaria Debida A Clostridium Perfringens [Clostridium Welchii]"
"A053","Intoxicacion Alimentaria Debida A Vibrio Parahaemolyticus"
"A054","Intoxicacion Alimentaria Debida A Bacillus Cereus"
"A058","Otras Intoxicaciones Alimentarias Debidas A Bacterias Especificadas"
"A059","Intoxicacion Alimentaria Bacteriana No Especificada"
"A060","Disenteria Amebiana Aguda"
"A061","Amebiasis Intestinal Cronica"
"A062","Colitis Amebiana No Disenterica"
"A063","Ameboma Intestinal"
"A064","Absceso Amebiano Del Higado"
"A065","Absceso Amebiano Del Pulmon"
"A066","Absceso Amebiano Del Cerebro"
"A067","Amebiasis Cutanea"
"A068","Infeccion Amebiana De Otras Localizaciones"
"A069","Amebiasis No Especificada"
"A070","Balantidiasis"
"A071","Giardiasis [Lambliasis]"
"A072","Criptosporidiosis"
"A073","Isosporiasis"
"A078","Otras Enfermedades Intestinales Especificadas Debidas A Protozoarios"
"A079","Enfermedad Intestinal Debida A Protozoarios No Especificada"
"A080","Enteritis Debida A Rotavirus"
"A081","Gastroenteropatia Aguda Debida Al Agente De Norwalk"
"A082","Enteritis Debida A Adenovirus"
"A083","Otras Enteritis Virales"
"A084","Infeccion Intestinal Viral Sin Otra Especificacion"
"A085","Otras Infecciones Intestinales Especificadas"
"A090","Otras Gastroenteritis Y Colitis De Origen Infeccioso"
"A099","Gastroenteritis Y Colitis De Origen No Especificado"
"A09X","Diarrea Y Gastroenteritis De Presunto Origen Infeccioso"
"A150","Tuberculosis Del Pulmon; Confirmada Por Hallazgo Microscopico Del Bacilo Tuberculoso En Esputo; Con "
"A151","Tuberculosis Del Pulmon; Confirmada Unicamente Por Cultivo"
"A152","Tuberculosis Del Pulmon; Confirmada Histologicamente"
"A153","Tuberculosis Del Pulmon; Confirmada Por Medios No Especificados"
"A154","Tuberculosis De Ganglios Linfaticos Intratoracicos; Confirmada Bacteriologica E Histologicamente"
"A155","Tuberculosis De Laringe; Traquea Y Bronquios; Confirmada Bacteriologica E Histologicamente"
"A156","Pleuresia Tuberculosa; Confirmada Bacteriologica E Histologicamente"
"A157","Tuberculosis Respiratoria Primaria; Confirmada Bacteriologica E Histologicamente"
"A158","Otras Tuberculosis Respiratorias; Confirmadas Bacteriologica E Histologicamente"
"A159","Tuberculosis Respiratoria No Especificada; Confirmada Bacteriologica E Histologicamente"
"A160","Tuberculosis Del Pulmon; Con Examen Bacteriologico E Histologico Negativos"
"A161","Tuberculosis De Pulmon; Sin Examen Bacteriologico E Histologico"
"A162","Tuberculosis De Pulmon; Sin Mencion De Confirmacion Bacteriologica O Histologica"
"A163","Tuberculosis De Ganglios Linfaticos Intratoracicos; Sin Mencion De Confirmacion Bacteriologica O His"
"A164","Tuberculosis De Laringe; Traquea Y Bronquios; Sin Mencion De Confirmacion Bacteriologica O Histologi"
"A165","Pleuresia Tuberculosa; Sin Mencion De Confirmacion Bacteriologica O Histologica"
"A167","Tuberculosis Respiratoria Primaria; Sin Mencion De Confirmacion Bacteriologica O Histologica"
"A168","Otras Tuberculosis Respiratorias; Sin Mencion De Confirmacion"
"A169","Tuberculosis Respiratoria No Especificada; Sin Mencion De Confirmacion Bacteriologica O Histologica"
"A170","Meningitis Tuberculosa"
"A171","Tuberculoma Meningeo"
"A178","Otras Tuberculosis Del Sistema Nervioso"
"A179","Tuberculosis Del Sistema Nervioso; No Especificada"
"A180","Tuberculosis De Huesos Y Articulaciones"
"A181","Tuberculosis Del Aparato Genitourinario"
"A182","Linfadenopatia Periferica Tuberculosa"
"A183","Tuberculosis De Los Intestinos; El Peritoneo Y Los Ganglios Mesentericos"
"A184","Tuberculosis De La Piel Y El Tejido Subcutaneo"
"A185","Tuberculosis Del Ojo"
"A186","Tuberculosis Del Oido"
"A187","Tuberculosis De Glandulas Suprarrenales"
"A188","Tuberculosis De Otros Organos Especificados"
"A190","Tuberculosis Miliar Aguda De Un Solo Sitio Especificado"
