"nombre","municipio","correo","direccion","telefono","gerente"
"ADMINISTRACION DE MODELOS ESPECIALES EN SALUD SAS","CÚCUTA","direccionadministrativa@ames.com.co","AVENIDA 7E # 0 - 60","5777350","KAREN YULLIETH MENDOZA BOTERO"
"AGESO LTDA - ASESORIAS EN GERENCIA Y SALUD OCUPACIONAL","CÚCUTA","agesoltda@hotmail.com","CALLE 15 #2-92","5715555","LUZ MARINA MONTOYA RESTREPO"
"AIDS HEALTHCARE FOUNDATION COLOMBIA","CÚCUTA","liliana.andrade@aidshealth.org","calle 15·2E- 81","3204071635","LILIANA ANDRADE FORERO"
"ALARCON PREVENIR SALUD OCUPACIONAL LTDA","CÚCUTA","contabilidad@ipsprevenir.com","CALLE 20 #0B-13","5716842","JAIRO MIGUEL ALDANA LAGUADO"
"ALIADOS EN SALUD S.A.","CÚCUTA","aliadosensalud@gmail.com","AV1#16-69","5712092","MARTHA LUCIA CADENA CADENA"
"ANGIOVASCULAR MORENO","CÚCUTA","gerencia@vascularmoreno.com","AV 1 Nº 15-43 BARRIO LA PLAYA","3107949722","LUIS ALBERTO MORENO VERA"
"ASOCIACION DE PATOLOGOS ""ASOPAT"" LTDA.","CÚCUTA","aso_pat@hotmail.com","Av.1E N° 11A-25 CAOBOS","5745091","LINA MARIA JAIMES RUEDA"
"ASOCIACION DE PRESTADORES DE SERVICIOS Y SUMINISTROS DE SALUD - ASSALUD","CÚCUTA","gladyscarvajal@assaludips.com","CALLE 7 Nº 2E-09 BARRIO POPULAR","3112019233","GLADYS CARVAJAL CAMACHO"
"ASOCIACION PROBIENESTAR DE LA FAMILIA COLOMBIANA - PROFAMILIA","CÚCUTA","","AV. 2 #13-08","","LUZ PAOLA MORALES CONTRERAS"
"ASOTAC SAN JOSE SA","CÚCUTA","asotac_san_jose@hotmail.com","CALLE 13 # 1E-44 CONS 103B","5716395","ALVARO SALGAR VILLAMIZAR"
"ATENCION EN REHABILITACION INTEGRAL S.A.S. ""ATERIN S.A.S.""","CÚCUTA","aterinltda@gmail.com","AVENIDA 1E No. 4-53","5893305","Martha Cecilia Sanchez Henao"
"AUDIOCOM CUCUTA","CÚCUTA","administracion@audiocom.com.co servicio@","Av 0 Nro. 13-131, 13-133","5 942645- 3 791900 ext 100","Deicy Liliana Pardo Contreras"
"AUVIMER SALUD INTEGRAL EN CASA SAS","CÚCUTA","auvimer@gmail.com","Avenida 10E # 6-38","3156235781","RAFAEL GALEANO BALLESTEROS"
